fsize,uhhnum,uleader,subsispercent,poor,soccap,market,others,localrules,college,literate,fracinterest,fracecon,ownland,statefor,enforce,india,kenya,mad,nepal,uganda
174.5,401,0,1,0.1147132,0,42,0,1,0.0399473,0.2216857,0,0.3206945,0.8354115,1,1,0,0,0,1,0
63.5,310,0,0.9677419,0.316129,0,25,0,1,0.0115075,0.6110472,0.062435,0.5782934,0.9483871,1,1,0,0,0,1,0
59,122,0,0.9098361,0.2295082,0,52.1429,0,1,0.0187032,0.5723192,0.1910271,0.5525396,0.9754099,1,1,0,0,0,1,0
4500,600,0,0,0.1666667,2,2,1,1,0.0009615,0.0192308,0,0.4027778,0,1,0,0,0,0,0,1
4500,115,0,1,0.4347826,2,45,1,1,0.0013043,0.0304348,0,0.604915,1,1,0,0,0,0,0,1
4696,87,0,1,0,0,30,1,0,0,0.5402299,0,0,0.137931,1,0,0,0,0,0,1
4696,260,0,1,0.2,0,30,1,1,0.003125,0.878125,0.4733728,0.515,0.0230769,1,0,0,0,0,0,1
760,20,0,1,0,0,10,1,1,0,0.2,0,0.375,0,1,0,0,0,0,0,1
9073,302,0,1,0.0165563,0,300,1,1,0,0.5493717,0,0.0519057,0.0264901,1,0,0,0,0,0,1
760,40,0,1,0.175,0,10,1,1,0.0073529,0.2941177,0.21875,0.57625,0.05,1,0,0,0,0,0,1
450,12,1,1,0.3333333,2,180,1,1,0.2,0.8,0.2777778,0.6527778,0.25,1,1,0,0,0,0,1
20,100,0,0.9,0.1,3,120,1,1,0,0.8222222,0.212144,0.2152,0.02,0,0,0,0,0,0,1
120,92,0,1,0.326087,1,60,1,1,0.1533333,0.9,0.3402647,0.5304821,1,1,0,0,0,0,0,1
20,25,0,0.2,0.96,9,120,1,1,0,0.8,0.32,0.0768,0,0,0,0,0,0,0,1
1200,61,0,0.1639344,0.4918033,1,120,1,0,0.0236967,0.2606635,0.3833627,0.5697393,1,1,0,0,0,0,0,1
1000,198,1,1,0.5555556,3,30,1,0,0.0632911,0.6012658,0,0.5026018,0.6161616,1,1,0,0,0,0,1
1000,700,1,1,0.8,2,5,1,0,0.0004167,0.7,0,0.3297959,0.7,1,1,0,0,0,0,1
1000,700,1,1,0.8,3,5,1,0,0.003125,0.7,0,0.3297959,0.7,1,0,0,0,0,0,1
110,86,0,0,0.0232558,2,60,1,1,0.00978,0.9779951,0,0.3253109,1,1,0,0,0,0,0,1
1207,90,0,1,0.0111111,0,60,1,0.666667,0.001368,0.5458276,0.0849383,0.105926,0.7777778,1,0,0,0,0,0,1
11173,238,0,1,0.0840336,0,10,1,1,0.0138504,0.2216066,0.1539439,0.2614576,1,1,0,0,0,0,0,1
60,86,0,0,0.0232558,2,60,1,1,0.00978,0.9779951,0,0.3253109,1,0,0,0,0,0,0,1
11173,238,1,1,0.1260504,0,10,1,0.666667,0,0.528169,0.0805028,0.2561613,0.9663866,1,1,0,0,0,0,1
130,122,0,0.9836066,0.0245902,2,90,1,0.333333,0,0.12,0.0634588,0.1245633,0.942623,0,0,0,0,0,0,1
130,122,1,0.9836066,0.0245902,2,90,1,0.333333,0.016,0.324,0.1778931,0.1245633,0.942623,0,0,0,0,0,0,1
4571,133,0,0.9774436,0.6015037,0,60,1,0.5,0.0205761,0.6995885,0.0440952,0.4963537,0.9774436,1,0,0,0,0,0,1
140,76,0,0.0526316,0.1973684,0,180,1,0,0,0.7692308,0.2693043,0.4310942,0.7894737,1,0,0,0,0,0,1
360,66,0,1,0.1363636,2,300,1,0,0.0235294,0.1764706,0.0587695,0.3549128,0.9242424,1,1,0,0,0,0,1
